#
# Alignment file for: Det1 back
# Ref channels: 
#  1) Det1 front 8
#  2) Det2 front 8
#
# strip  shift  std
 1  1182.92  11.4755
 2  1174.59  11.7288
 3  1245.08  11.6527
 4  1136.94  12.2688
 5  1137.5  11.763
 6  1149.78  11.87
 7  1127.7  11.7837
 8  1151.13  12.079
 9  1156.07  11.7047
 10  1128.08  11.7888
 11  1112.42  11.5932
 12  1229.89  12.1379
 13  1137.52  11.3603
 14  1081  11.6158
 15  1067.43  11.4893
 16  1182.47  12.1217
#
# Time unit: 100 ps
